EmployeeNumber,Age,AgeGroup,Gender,MaritalStatus,EducationField,Department,JobRole,JobLevel,BusinessTravel,MonthlyIncome,PercentSalaryHike,StockOptionLevel,JobSatisfaction,EnvironmentSatisfaction,RelationshipSatisfaction,WorkLifeBalance,JobInvolvement,YearsAtCompany,TenureBand,YearsInCurrentRole,YearsSinceLastPromotion,TotalWorkingYears,NumCompaniesWorked,OverTime,OverTime_Flag,DistanceFromHome,FlightRiskScore,RiskSegment,Attrition,Attrition_Flag
531,39,36-45,Male,Divorced,Life Sciences,Research & Development,Manager,5,Travel_Frequently,19197,14,1,3,2,3,3,3,21,20+ yrs,8,1,21,1,Yes,1,1,0.4892798841495523,Moderate Risk,No,0
532,56,46-60,Female,Married,Life Sciences,Sales,Sales Executive,4,Travel_Frequently,13212,11,3,1,3,4,2,4,7,6-10 yrs,7,7,36,9,No,0,6,0.5039797261716693,Moderate Risk,No,0
533,30,26-35,Female,Single,Technical Degree,Sales,Sales Executive,2,Travel_Rarely,6577,11,0,3,2,2,3,3,5,3-5 yrs,4,4,6,0,No,0,12,0.3621919431279621,Stable but Disengaged,No,0
534,41,36-45,Male,Married,Marketing,Sales,Sales Executive,3,Travel_Rarely,8392,16,1,1,2,3,3,4,10,6-10 yrs,7,0,10,1,No,0,1,0.4972432859399684,Moderate Risk,No,0
536,28,26-35,Male,Divorced,Medical,Research & Development,Laboratory Technician,2,Travel_Rarely,4558,12,1,1,3,4,3,3,10,6-10 yrs,0,1,10,1,No,0,17,0.5376224328593997,Moderate Risk,No,0
538,25,18-25,Male,Married,Medical,Research & Development,Laboratory Technician,1,Travel_Rarely,4031,13,1,1,1,3,3,3,2,0-2 yrs,2,0,6,5,No,0,3,0.5631727224855188,Moderate Risk,Yes,1
543,52,46-60,Male,Married,Medical,Research & Development,Manufacturing Director,3,Travel_Rarely,7969,14,0,3,4,3,3,2,5,3-5 yrs,4,0,28,2,Yes,1,3,0.6475315955766193,Moderate Risk,No,0
544,45,36-45,Male,Married,Life Sciences,Research & Development,Research Scientist,1,Travel_Rarely,2654,21,2,4,1,4,2,3,2,0-2 yrs,2,0,8,3,No,0,10,0.37767509215376516,Stable but Disengaged,No,0
546,52,46-60,Female,Married,Life Sciences,Research & Development,Manager,4,Travel_Rarely,16555,13,0,4,4,4,1,3,5,3-5 yrs,2,1,31,2,No,0,4,0.27377172195892574,Stable but Disengaged,No,0
547,42,36-45,Female,Divorced,Life Sciences,Research & Development,Research Scientist,2,Travel_Frequently,4556,11,1,3,1,2,3,3,5,3-5 yrs,4,0,19,2,No,0,29,0.38347682991047927,Stable but Disengaged,No,0
548,30,26-35,Female,Single,Life Sciences,Research & Development,Manufacturing Director,2,Travel_Rarely,6091,20,0,4,3,3,3,1,5,3-5 yrs,4,0,11,2,No,0,2,0.283977093206951,Stable but Disengaged,No,0
549,60,46-60,Female,Married,Life Sciences,Research & Development,Manager,5,Travel_Rarely,19566,11,0,1,1,4,1,3,29,20+ yrs,8,11,33,5,No,0,7,0.4320602948920485,Stable but Disengaged,No,0
550,46,46-60,Female,Divorced,Medical,Research & Development,Manufacturing Director,2,Travel_Rarely,4810,14,1,3,3,3,2,3,10,6-10 yrs,7,0,19,2,No,0,18,0.4183017377567141,Stable but Disengaged,No,0
551,42,36-45,Female,Married,Technical Degree,Research & Development,Healthcare Representative,2,Travel_Frequently,4523,11,3,4,4,4,4,2,6,6-10 yrs,5,0,7,0,No,0,28,0.2479910479199579,Genuinely Retained,No,0
554,24,18-25,Female,Single,Technical Degree,Sales,Sales Representative,1,Travel_Rarely,3202,16,0,2,1,2,3,3,5,3-5 yrs,3,1,6,1,Yes,1,1,0.781070300157978,High Flight Risk,Yes,1
555,34,26-35,Female,Divorced,Marketing,Sales,Sales Representative,1,Travel_Frequently,2351,16,1,3,4,4,2,1,2,0-2 yrs,2,1,3,0,No,0,6,0.4641995787256451,Moderate Risk,Yes,1
556,38,36-45,Male,Married,Life Sciences,Research & Development,Laboratory Technician,1,Travel_Frequently,1702,23,1,4,4,3,3,3,1,0-2 yrs,0,0,1,1,Yes,1,2,0.640201421800948,Moderate Risk,No,0
558,40,36-45,Female,Married,Life Sciences,Sales,Manager,5,Travel_Rarely,18041,14,0,3,3,4,3,3,20,11-20 yrs,15,1,21,0,No,0,2,0.2039547130068457,Genuinely Retained,No,0
560,26,26-35,Female,Divorced,Life Sciences,Research & Development,Research Scientist,1,Travel_Rarely,2886,22,2,4,1,2,1,3,3,3-5 yrs,2,0,3,1,No,0,23,0.42273170089520806,Stable but Disengaged,No,0
562,30,26-35,Male,Married,Life Sciences,Research & Development,Laboratory Technician,1,Non-Travel,2097,15,1,4,3,3,1,3,5,3-5 yrs,3,1,9,4,No,0,3,0.4260413375460769,Stable but Disengaged,No,0
564,29,26-35,Male,Married,Medical,Research & Development,Research Director,3,Travel_Rarely,11935,18,0,3,2,3,3,2,10,6-10 yrs,2,0,10,1,No,0,3,0.29326224328594,Stable but Disengaged,No,0
565,29,26-35,Female,Married,Technical Degree,Research & Development,Research Scientist,1,Travel_Rarely,2546,16,0,2,3,2,4,2,2,0-2 yrs,2,1,6,5,No,0,25,0.4454791995787256,Stable but Disengaged,Yes,1
566,19,18-25,Male,Single,Technical Degree,Human Resources,Human Resources,1,Travel_Rarely,2564,12,0,4,1,3,4,2,1,0-2 yrs,0,0,1,1,No,0,2,0.28112295945234334,Stable but Disengaged,Yes,1
567,30,26-35,Female,Married,Other,Sales,Sales Executive,3,Non-Travel,8412,11,0,1,3,3,3,3,9,6-10 yrs,8,7,10,0,No,0,22,0.4995326487625066,Moderate Risk,No,0
568,57,46-60,Male,Divorced,Marketing,Sales,Manager,4,Travel_Rarely,14118,12,1,4,1,3,2,2,1,0-2 yrs,0,0,32,3,No,0,29,0.2594378620326488,Stable but Disengaged,No,0
569,50,46-60,Male,Married,Life Sciences,Research & Development,Manager,4,Travel_Rarely,17046,15,1,3,2,2,3,2,27,20+ yrs,10,15,28,0,No,0,29,0.19693391258557136,Genuinely Retained,No,0
571,30,26-35,Female,Single,Medical,Research & Development,Laboratory Technician,1,Non-Travel,2564,14,0,4,3,3,2,3,11,11-20 yrs,7,6,12,0,No,0,2,0.3561229594523434,Stable but Disengaged,No,0
573,60,46-60,Female,Married,Marketing,Sales,Sales Executive,3,Travel_Frequently,10266,19,0,1,3,4,4,2,18,11-20 yrs,13,13,22,4,No,0,28,0.40750658241179566,Stable but Disengaged,No,0
574,47,46-60,Female,Divorced,Medical,Research & Development,Manufacturing Director,2,Travel_Rarely,5070,13,3,4,1,3,3,3,5,3-5 yrs,0,0,20,5,No,0,2,0.2947301211163771,Stable but Disengaged,No,0
575,46,46-60,Male,Married,Life Sciences,Research & Development,Research Director,4,Travel_Rarely,17861,13,0,3,1,3,1,3,3,3-5 yrs,2,0,26,6,No,0,2,0.34835044760400213,Stable but Disengaged,No,0
577,35,26-35,Male,Single,Life Sciences,Research & Development,Laboratory Technician,1,Travel_Rarely,4230,15,0,3,4,3,3,1,5,3-5 yrs,4,4,6,0,No,0,22,0.3869102159031069,Stable but Disengaged,No,0
578,54,46-60,Female,Single,Life Sciences,Research & Development,Laboratory Technician,2,Travel_Rarely,3780,11,0,3,3,3,3,3,1,0-2 yrs,0,0,19,7,No,0,8,0.40164955239599787,Stable but Disengaged,No,0
579,34,26-35,Male,Divorced,Life Sciences,Research & Development,Research Scientist,1,Travel_Rarely,2768,12,1,3,4,3,3,2,7,6-10 yrs,3,5,14,3,No,0,2,0.3973077935755661,Stable but Disengaged,No,0
580,46,46-60,Female,Married,Marketing,Sales,Sales Executive,3,Travel_Rarely,9071,19,1,4,3,3,3,2,3,3-5 yrs,2,1,15,2,Yes,1,10,0.5575921537651395,Moderate Risk,No,0
581,31,26-35,Male,Divorced,Life Sciences,Research & Development,Manufacturing Director,3,Travel_Rarely,10648,25,1,2,3,4,4,3,13,11-20 yrs,8,0,13,1,No,0,9,0.3326500789889416,Stable but Disengaged,No,0
582,33,26-35,Male,Married,Medical,Research & Development,Manager,3,Travel_Rarely,13610,12,0,3,2,4,4,3,7,6-10 yrs,6,7,15,7,Yes,1,15,0.5331213796735124,Moderate Risk,Yes,1
584,33,26-35,Male,Divorced,Medical,Research & Development,Laboratory Technician,1,Travel_Rarely,3408,13,3,4,1,1,3,1,4,3-5 yrs,3,1,8,7,No,0,10,0.3147340705634545,Stable but Disengaged,Yes,1
585,30,26-35,Male,Single,Marketing,Sales,Sales Representative,1,Travel_Rarely,2983,14,0,2,4,1,3,3,3,3-5 yrs,2,1,4,0,No,0,7,0.4883767772511849,Moderate Risk,No,0
586,35,26-35,Male,Married,Life Sciences,Research & Development,Healthcare Representative,3,Travel_Rarely,7632,12,0,3,4,3,3,3,8,6-10 yrs,7,0,10,4,Yes,1,16,0.643580832016851,Moderate Risk,No,0
587,31,26-35,Male,Married,Life Sciences,Research & Development,Healthcare Representative,3,Travel_Frequently,9824,12,0,3,1,1,3,3,1,0-2 yrs,0,0,12,3,No,0,20,0.3379949973670353,Stable but Disengaged,Yes,1
590,34,26-35,Female,Divorced,Human Resources,Human Resources,Human Resources,3,Travel_Frequently,9950,15,3,1,2,3,3,3,3,3-5 yrs,2,0,11,9,Yes,1,23,0.7983346498156926,High Flight Risk,Yes,1
591,42,36-45,Male,Married,Other,Research & Development,Laboratory Technician,1,Travel_Frequently,2093,17,1,3,2,4,3,3,2,0-2 yrs,2,2,8,4,No,0,5,0.4169167983149026,Stable but Disengaged,No,0
592,36,36-45,Male,Single,Medical,Sales,Sales Executive,3,Non-Travel,9980,14,0,4,2,4,2,3,10,6-10 yrs,3,9,10,1,No,0,10,0.28051869404949975,Stable but Disengaged,No,0
593,22,18-25,Male,Single,Technical Degree,Research & Development,Laboratory Technician,1,Travel_Frequently,3894,16,0,3,3,3,3,2,2,0-2 yrs,2,1,4,5,No,0,4,0.3979489204844655,Stable but Disengaged,Yes,1
595,48,46-60,Female,Married,Marketing,Sales,Sales Executive,2,Travel_Rarely,4051,14,1,4,2,1,3,3,9,6-10 yrs,7,6,14,2,No,0,2,0.2954620853080569,Stable but Disengaged,No,0
597,55,46-60,Female,Single,Life Sciences,Sales,Manager,4,Travel_Rarely,16835,23,0,2,1,4,3,3,10,6-10 yrs,9,7,37,3,No,0,18,0.32498946814112695,Stable but Disengaged,No,0
599,41,36-45,Male,Single,Life Sciences,Sales,Sales Executive,2,Non-Travel,6230,14,0,4,4,4,3,3,14,11-20 yrs,3,1,16,7,No,0,10,0.2600131648235914,Stable but Disengaged,No,0
600,35,26-35,Male,Married,Marketing,Sales,Sales Executive,2,Travel_Rarely,4717,11,0,3,2,3,3,3,11,11-20 yrs,9,6,15,9,No,0,1,0.36678120063191155,Stable but Disengaged,No,0
601,40,36-45,Female,Single,Life Sciences,Research & Development,Manufacturing Director,4,Travel_Rarely,13237,15,0,3,2,3,3,3,20,11-20 yrs,6,5,22,7,No,0,6,0.25454976303317534,Stable but Disengaged,No,0
602,39,36-45,Female,Married,Life Sciences,Research & Development,Laboratory Technician,1,Travel_Frequently,3755,11,1,3,3,1,3,3,8,6-10 yrs,3,0,8,1,No,0,8,0.38441284886782523,Stable but Disengaged,No,0
604,31,26-35,Male,Single,Life Sciences,Sales,Sales Executive,2,Travel_Rarely,6582,13,0,4,2,3,4,3,6,6-10 yrs,5,0,10,4,Yes,1,2,0.5263059505002633,Moderate Risk,No,0
605,42,36-45,Male,Married,Medical,Research & Development,Manufacturing Director,3,Travel_Rarely,7406,21,1,1,4,4,2,3,10,6-10 yrs,9,5,10,1,Yes,1,24,0.8576276987888363,High Flight Risk,No,0
606,45,36-45,Male,Married,Other,Sales,Sales Executive,2,Travel_Rarely,4805,19,1,2,4,2,4,3,8,6-10 yrs,7,3,9,0,No,0,2,0.4066877303844129,Stable but Disengaged,No,0
608,26,26-35,Female,Divorced,Life Sciences,Human Resources,Human Resources,1,Travel_Frequently,2741,11,1,3,2,2,2,3,7,6-10 yrs,7,1,8,0,Yes,1,17,0.7475921537651395,High Flight Risk,Yes,1
611,29,26-35,Male,Divorced,Technical Degree,Research & Development,Manufacturing Director,2,Travel_Rarely,4262,12,2,4,4,2,4,3,3,3-5 yrs,2,1,8,4,No,0,19,0.2582398630858347,Stable but Disengaged,No,0
612,33,26-35,Female,Divorced,Medical,Research & Development,Research Director,4,Travel_Rarely,16184,19,1,3,1,3,3,4,6,6-10 yrs,1,0,10,4,No,0,1,0.25851237493417595,Stable but Disengaged,No,0
613,31,26-35,Male,Divorced,Life Sciences,Sales,Manager,3,Travel_Rarely,11557,21,1,4,3,3,2,2,5,3-5 yrs,4,0,10,9,No,0,7,0.2764099526066351,Stable but Disengaged,No,0
614,18,18-25,Male,Single,Marketing,Sales,Sales Representative,1,Travel_Frequently,1878,14,0,2,2,4,3,3,0,0-2 yrs,0,0,0,1,Yes,1,5,0.8075144813059506,High Flight Risk,Yes,1
615,40,36-45,Male,Divorced,Other,Sales,Sales Executive,3,Non-Travel,10932,15,1,1,3,3,3,1,1,0-2 yrs,0,0,20,3,No,0,28,0.492992364402317,Moderate Risk,No,0
616,41,36-45,Female,Single,Other,Research & Development,Healthcare Representative,2,Non-Travel,6811,17,0,3,1,1,3,2,8,6-10 yrs,7,0,10,2,Yes,1,2,0.6522274881516588,High Flight Risk,No,0
618,26,26-35,Male,Divorced,Medical,Sales,Sales Executive,2,Travel_Rarely,4306,12,2,3,1,1,3,3,0,0-2 yrs,0,0,8,5,No,0,29,0.398609794628752,Stable but Disengaged,No,0
620,35,26-35,Female,Single,Medical,Sales,Sales Executive,2,Travel_Rarely,4859,16,0,3,1,4,3,3,5,3-5 yrs,4,0,5,1,No,0,1,0.38028567667193264,Stable but Disengaged,No,0
621,34,26-35,Male,Single,Life Sciences,Sales,Sales Executive,2,Travel_Rarely,5337,12,0,4,4,4,3,4,10,6-10 yrs,7,5,10,1,No,0,21,0.27941811479726175,Stable but Disengaged,No,0
622,26,26-35,Male,Single,Technical Degree,Research & Development,Laboratory Technician,1,Travel_Rarely,2340,18,0,4,3,2,1,1,1,0-2 yrs,0,0,1,1,Yes,1,24,0.7334820958399157,High Flight Risk,Yes,1
623,37,36-45,Female,Single,Technical Degree,Research & Development,Manufacturing Director,3,Travel_Rarely,7491,17,0,4,2,4,4,3,6,6-10 yrs,5,1,12,4,No,0,1,0.21673249078462348,Genuinely Retained,No,0
624,46,46-60,Female,Married,Medical,Research & Development,Healthcare Representative,3,Travel_Frequently,10527,11,0,3,1,4,2,3,2,0-2 yrs,2,1,28,5,No,0,18,0.3780911005792522,Stable but Disengaged,No,0
625,41,36-45,Female,Married,Life Sciences,Sales,Manager,4,Travel_Rarely,16595,16,1,1,2,2,3,3,18,11-20 yrs,16,11,22,7,No,0,2,0.3908504476040021,Stable but Disengaged,No,0
626,37,36-45,Male,Divorced,Medical,Sales,Sales Executive,3,Non-Travel,8834,13,1,2,1,4,3,3,9,6-10 yrs,5,7,9,1,No,0,9,0.41175487098472885,Stable but Disengaged,No,0
630,52,46-60,Male,Divorced,Technical Degree,Research & Development,Research Scientist,2,Travel_Rarely,5577,12,2,1,4,2,3,3,10,6-10 yrs,9,6,18,3,Yes,1,6,0.8268904686677199,High Flight Risk,No,0
631,32,26-35,Male,Married,Other,Sales,Sales Executive,2,Non-Travel,4707,12,0,3,4,4,3,4,4,3-5 yrs,2,1,6,8,No,0,11,0.3843865192206425,Stable but Disengaged,Yes,1
632,24,18-25,Male,Married,Medical,Sales,Sales Representative,1,Travel_Frequently,2400,13,2,4,4,3,3,3,2,0-2 yrs,2,2,3,0,No,0,24,0.33035018430753027,Stable but Disengaged,No,0
634,38,36-45,Female,Married,Medical,Research & Development,Healthcare Representative,2,Travel_Rarely,9824,19,1,3,3,3,3,3,1,0-2 yrs,0,0,18,3,No,0,10,0.3379949973670353,Stable but Disengaged,No,0
635,37,36-45,Female,Married,Life Sciences,Research & Development,Manufacturing Director,2,Travel_Rarely,6447,12,1,2,2,2,2,3,6,6-10 yrs,5,4,8,6,No,0,1,0.4943944181147973,Moderate Risk,No,0
638,49,46-60,Male,Divorced,Life Sciences,Research & Development,Research Director,5,Travel_Rarely,19502,17,1,3,4,3,3,2,31,20+ yrs,9,0,31,1,Yes,1,18,0.4610676671932596,Moderate Risk,No,0
639,24,18-25,Male,Married,Medical,Research & Development,Research Scientist,1,Travel_Rarely,2725,11,2,4,2,2,3,4,6,6-10 yrs,5,1,6,1,Yes,1,23,0.6169273301737757,Moderate Risk,No,0
641,26,26-35,Male,Married,Marketing,Sales,Sales Executive,2,Travel_Rarely,6272,20,2,2,1,4,4,3,5,3-5 yrs,3,1,6,1,No,0,28,0.39873749341758824,Stable but Disengaged,No,0
643,24,18-25,Male,Married,Other,Research & Development,Laboratory Technician,1,Travel_Rarely,2127,21,1,2,4,4,3,2,1,0-2 yrs,0,0,1,1,No,0,17,0.5023920484465508,Moderate Risk,No,0
644,50,46-60,Male,Married,Medical,Human Resources,Manager,5,Travel_Frequently,18200,11,1,2,1,3,3,3,32,20+ yrs,5,10,32,1,No,0,3,0.2556134807793576,Stable but Disengaged,No,0
645,25,18-25,Male,Married,Medical,Sales,Sales Representative,1,Travel_Rarely,2096,11,0,3,2,3,3,3,7,6-10 yrs,4,0,7,1,No,0,13,0.4043852027382833,Stable but Disengaged,No,0
647,24,18-25,Female,Married,Life Sciences,Research & Development,Laboratory Technician,1,Travel_Frequently,2886,16,1,3,1,4,3,3,6,6-10 yrs,3,1,6,1,Yes,1,7,0.6985650342285413,High Flight Risk,Yes,1
648,30,26-35,Male,Married,Life Sciences,Sales,Sales Representative,1,Travel_Frequently,2033,18,1,1,2,3,4,2,1,0-2 yrs,0,0,1,1,No,0,12,0.5367153765139547,Moderate Risk,Yes,1
649,34,26-35,Male,Married,Life Sciences,Research & Development,Research Scientist,1,Travel_Rarely,3622,13,1,4,2,4,3,2,6,6-10 yrs,5,1,6,1,Yes,1,1,0.6074802527646129,Moderate Risk,No,0
650,31,26-35,Male,Divorced,Medical,Sales,Sales Executive,2,Travel_Rarely,4233,17,0,1,2,3,1,3,3,3-5 yrs,1,1,9,2,No,0,13,0.6585452869931543,High Flight Risk,Yes,1
652,35,26-35,Male,Single,Other,Research & Development,Laboratory Technician,2,Travel_Rarely,3681,14,0,4,1,4,3,2,3,3-5 yrs,2,0,9,4,No,0,25,0.3143588730911006,Stable but Disengaged,No,0
653,31,26-35,Male,Divorced,Medical,Sales,Sales Executive,2,Travel_Rarely,5460,22,2,4,1,4,4,4,7,6-10 yrs,7,5,13,4,No,0,6,0.2356226961558715,Genuinely Retained,No,0
655,27,26-35,Female,Divorced,Medical,Research & Development,Research Scientist,1,Travel_Rarely,2187,12,2,3,1,3,2,2,5,3-5 yrs,3,0,6,0,No,0,6,0.4584268035808321,Moderate Risk,No,0
656,37,36-45,Male,Married,Marketing,Sales,Sales Executive,2,Travel_Rarely,9602,11,1,3,4,3,2,3,3,3-5 yrs,0,1,17,4,Yes,1,2,0.6853330700368615,High Flight Risk,No,0
657,20,18-25,Female,Single,Life Sciences,Research & Development,Research Scientist,1,Travel_Rarely,2836,13,0,2,4,4,4,2,1,0-2 yrs,0,0,1,1,No,0,1,0.4449249605055292,Stable but Disengaged,No,0
659,42,36-45,Female,Married,Life Sciences,Research & Development,Healthcare Representative,2,Travel_Rarely,4089,13,2,4,3,2,3,3,10,6-10 yrs,2,2,10,1,No,0,2,0.29256187467087946,Stable but Disengaged,No,0
661,43,36-45,Male,Divorced,Other,Research & Development,Research Director,4,Travel_Rarely,16627,14,1,4,2,3,2,2,1,0-2 yrs,0,0,21,4,Yes,1,6,0.5330134281200632,Moderate Risk,No,0
662,38,36-45,Female,Single,Life Sciences,Research & Development,Research Scientist,1,Travel_Rarely,2619,17,0,1,3,4,2,3,0,0-2 yrs,0,0,8,3,No,0,1,0.6330437072143233,Moderate Risk,No,0
663,43,36-45,Male,Divorced,Medical,Research & Development,Laboratory Technician,2,Travel_Frequently,5679,13,1,3,4,2,3,3,8,6-10 yrs,7,4,10,3,Yes,1,9,0.6641495523959979,High Flight Risk,No,0
664,48,46-60,Female,Married,Life Sciences,Research & Development,Manager,4,Travel_Rarely,15402,11,1,1,4,1,1,2,3,3-5 yrs,2,0,21,7,No,0,1,0.5409149552395999,Moderate Risk,No,0
665,44,36-45,Female,Single,Life Sciences,Human Resources,Human Resources,2,Travel_Rarely,5985,11,0,3,1,2,4,2,2,0-2 yrs,2,0,10,4,No,0,1,0.32592680358083204,Stable but Disengaged,No,0
666,34,26-35,Female,Divorced,Technical Degree,Sales,Sales Representative,1,Travel_Rarely,2579,18,2,3,3,4,3,3,8,6-10 yrs,2,0,8,1,Yes,1,14,0.6967983149025803,High Flight Risk,No,0
667,27,26-35,Male,Divorced,Marketing,Sales,Sales Representative,1,Travel_Rarely,3041,11,1,1,3,2,3,3,4,3-5 yrs,3,0,5,0,No,0,2,0.5685992627698789,Moderate Risk,Yes,1
669,21,18-25,Male,Single,Technical Degree,Sales,Sales Representative,1,Travel_Rarely,3447,11,0,3,3,3,3,3,3,3-5 yrs,2,1,3,1,No,0,22,0.4001566614007373,Stable but Disengaged,No,0
671,44,36-45,Male,Married,Other,Research & Development,Manager,5,Travel_Rarely,19513,12,1,4,4,1,4,3,2,0-2 yrs,2,0,26,4,Yes,1,3,0.40011848341232226,Stable but Disengaged,No,0
675,22,18-25,Male,Married,Medical,Research & Development,Research Scientist,1,Travel_Rarely,2773,20,0,3,1,4,3,3,2,0-2 yrs,2,2,3,0,No,0,6,0.4097551342812007,Stable but Disengaged,No,0
677,33,26-35,Male,Divorced,Marketing,Sales,Sales Executive,2,Travel_Rarely,7104,12,0,3,3,4,3,3,5,3-5 yrs,0,1,6,0,No,0,8,0.3566416535018431,Stable but Disengaged,No,0
679,32,26-35,Female,Married,Life Sciences,Research & Development,Research Scientist,2,Travel_Rarely,6322,12,1,4,1,4,2,3,6,6-10 yrs,4,0,6,1,Yes,1,9,0.6290442338072669,Moderate Risk,No,0
680,30,26-35,Female,Divorced,Medical,Research & Development,Research Scientist,1,Travel_Frequently,2083,20,1,3,3,3,3,3,1,0-2 yrs,0,0,1,1,No,0,3,0.4195221169036335,Stable but Disengaged,No,0
682,53,46-60,Female,Single,Medical,Sales,Sales Executive,2,Travel_Rarely,8381,20,0,1,4,4,4,3,14,11-20 yrs,7,8,18,7,No,0,1,0.4373591363875724,Stable but Disengaged,No,0
683,34,26-35,Male,Married,Life Sciences,Research & Development,Research Scientist,1,Travel_Rarely,2691,12,1,4,2,4,2,3,10,6-10 yrs,9,8,10,1,No,0,1,0.35728541337546077,Stable but Disengaged,No,0
684,45,36-45,Female,Married,Life Sciences,Sales,Sales Executive,2,Travel_Frequently,4286,14,2,1,1,4,3,3,1,0-2 yrs,1,0,5,2,No,0,26,0.5629870984728804,Moderate Risk,Yes,1
686,26,26-35,Female,Married,Life Sciences,Research & Development,Laboratory Technician,1,Travel_Rarely,2659,13,1,4,3,3,3,3,3,3-5 yrs,2,0,3,1,Yes,1,6,0.6251224328593997,Moderate Risk,No,0
689,37,36-45,Male,Married,Other,Research & Development,Manufacturing Director,3,Travel_Rarely,9434,15,1,3,3,3,3,3,10,6-10 yrs,7,7,10,1,No,0,3,0.3196024223275408,Stable but Disengaged,No,0
690,29,26-35,Female,Married,Medical,Sales,Sales Executive,2,Travel_Rarely,5561,14,1,3,2,1,2,3,6,6-10 yrs,0,1,6,1,No,0,3,0.42039231174302266,Stable but Disengaged,No,0
691,35,26-35,Male,Single,Life Sciences,Research & Development,Research Scientist,2,Travel_Rarely,6646,13,0,4,2,2,3,1,17,11-20 yrs,11,11,17,1,No,0,6,0.2481319115323855,Genuinely Retained,No,0
692,33,26-35,Male,Divorced,Life Sciences,Research & Development,Healthcare Representative,2,Travel_Frequently,7725,23,1,4,3,3,1,3,13,11-20 yrs,11,4,15,3,No,0,6,0.34676803580832016,Stable but Disengaged,No,0
698,54,46-60,Male,Married,Medical,Human Resources,Human Resources,3,Travel_Rarely,10725,15,1,2,3,3,4,3,9,6-10 yrs,7,7,16,2,No,0,19,0.3418391258557136,Stable but Disengaged,No,0
699,36,36-45,Male,Divorced,Medical,Research & Development,Manufacturing Director,2,Travel_Rarely,8847,11,1,2,2,3,3,2,3,3-5 yrs,2,0,13,2,Yes,1,9,0.7266179568193787,High Flight Risk,No,0
700,27,26-35,Male,Single,Medical,Research & Development,Research Scientist,1,Travel_Rarely,2045,13,0,4,1,4,3,2,4,3-5 yrs,2,1,5,0,No,0,3,0.32908899420747767,Stable but Disengaged,No,0
701,20,18-25,Male,Single,Medical,Research & Development,Research Scientist,1,Travel_Rarely,1009,11,0,3,4,4,3,3,1,0-2 yrs,0,1,1,1,Yes,1,10,0.7308333333333333,High Flight Risk,Yes,1
702,33,26-35,Male,Single,Life Sciences,Research & Development,Research Scientist,1,Travel_Frequently,3348,11,0,1,1,1,3,3,10,6-10 yrs,8,9,10,1,Yes,1,3,0.85036598209584,High Flight Risk,Yes,1
704,35,26-35,Male,Married,Life Sciences,Research & Development,Laboratory Technician,1,Non-Travel,1281,18,2,3,3,3,3,2,1,0-2 yrs,0,0,1,1,No,0,3,0.42796866771985254,Stable but Disengaged,No,0
705,23,18-25,Male,Married,Medical,Research & Development,Research Scientist,1,Travel_Rarely,2819,16,1,1,1,1,4,4,3,3-5 yrs,2,0,5,2,No,0,4,0.5234373354397052,Moderate Risk,No,0
707,25,18-25,Male,Married,Life Sciences,Sales,Sales Executive,2,Travel_Rarely,4851,22,1,2,4,3,3,4,3,3-5 yrs,2,1,4,0,No,0,8,0.4687032648762507,Moderate Risk,No,0
709,38,36-45,Female,Single,Marketing,Sales,Sales Executive,2,Travel_Rarely,4028,20,0,4,4,1,3,2,7,6-10 yrs,7,0,8,0,No,0,7,0.300704318062138,Stable but Disengaged,No,0
710,29,26-35,Male,Divorced,Life Sciences,Research & Development,Research Scientist,1,Travel_Frequently,2720,18,1,4,2,4,3,1,10,6-10 yrs,7,2,10,1,No,0,1,0.30697998946814115,Stable but Disengaged,No,0
712,48,46-60,Male,Married,Marketing,Sales,Sales Executive,2,Travel_Rarely,8120,12,0,2,2,4,3,4,2,0-2 yrs,2,2,12,3,No,0,2,0.4367746182201159,Stable but Disengaged,No,0
714,27,26-35,Female,Divorced,Medical,Sales,Sales Executive,2,Travel_Frequently,4647,20,2,4,4,2,3,4,6,6-10 yrs,5,0,6,1,Yes,1,3,0.5966850974196946,Moderate Risk,No,0
715,37,36-45,Male,Single,Life Sciences,Research & Development,Research Scientist,1,Travel_Rarely,4680,17,0,4,4,1,3,4,1,0-2 yrs,0,0,4,3,No,0,10,0.30883754607688263,Stable but Disengaged,No,0
716,50,46-60,Male,Married,Medical,Research & Development,Laboratory Technician,1,Travel_Rarely,3221,11,3,3,4,3,3,4,20,11-20 yrs,8,3,20,1,Yes,1,28,0.6600368615060559,High Flight Risk,No,0
717,34,26-35,Female,Single,Medical,Research & Development,Healthcare Representative,3,Travel_Rarely,8621,14,0,2,4,2,4,2,8,6-10 yrs,7,7,9,1,No,0,9,0.3664981569246973,Stable but Disengaged,No,0
720,24,18-25,Female,Single,Life Sciences,Sales,Sales Executive,2,Travel_Rarely,4577,14,0,3,1,1,3,3,2,0-2 yrs,2,2,4,9,No,0,3,0.39075566087414426,Stable but Disengaged,Yes,1
721,39,36-45,Female,Single,Technical Degree,Research & Development,Healthcare Representative,2,Travel_Rarely,4553,11,0,3,4,1,3,2,20,11-20 yrs,7,11,20,1,No,0,2,0.3460084254870985,Stable but Disengaged,No,0
722,32,26-35,Male,Single,Marketing,Sales,Sales Executive,2,Travel_Rarely,5396,12,0,4,4,4,2,3,10,6-10 yrs,7,0,10,1,No,0,10,0.32879673512374935,Stable but Disengaged,No,0
